,Country Name,Country Code,2018 GDP ($MM USD),JH Deaths,JH Confirmed,JH Recovered,Area (mi2),Population,Population Density (mi2),Lat,Lng
0,Afghanistan,AFG,19484.0,1426,38815,32098,249347,31575018,127,33.83644891,66.0087623
1,Albania,ALB,15147.0,340,11672,6668,11082,2862427,258,41.14238245,20.05363379
2,Algeria,DZA,174000.0,1632,48734,34385,919595,43000000,47,28.14895234,2.653180184
3,Andorra,AND,3218.0,53,1438,945,179,76177,425,42.54235283,1.561301029
4,Angola,AGO,101000.0,139,3569,1332,481354,29250009,61,-12.29228881,17.53697914
5,Antigua and Barbuda,ATG,1611.0,3,95,91,171,104084,610,17.28282374,-61.79152783
6,Argentina,ARG,520000.0,11852,577338,438883,1073518,44938712,42,-35.38747534,-65.17827082
7,Armenia,ARM,12458.0,920,46119,41941,11484,2957500,258,40.28814752,44.93211674
8,Australia,AUS,1430000.0,824,26778,23650,2969907,25665300,9,-25.73238311,134.4911178
9,Austria,AUT,456000.0,757,34305,27354,32386,8902600,275,47.58575716,14.13054447
10,Azerbaijan,AZE,47113.0,566,38517,35998,33436,10067108,301,40.28917913,47.54254985
11,The Bahamas,BHS,12424.0,69,3032,1482,5382,386870,72,24.2318875,-76.55795109
12,Bahrain,BHR,37652.0,213,61643,54831,300,1543300,5136,26.051416699999997,50.54595654
13,Bangladesh,BGD,274000.0,4802,341056,245594,55598,169317088,3045,23.84557772,90.24194241
14,Barbados,BRB,5086.0,7,184,169,166,287025,1729,13.180518300000003,-59.56074345
15,Belarus,BLR,60031.0,761,74552,72661,80155,9397800,118,53.53169179,28.03331676
16,Belgium,BEL,543000.0,9930,94795,18789,11849,11530853,973,50.63754659,4.639669963
17,Belize,BLZ,1871.0,21,1541,663,8867,408487,46,17.20762029,-88.69476645
18,Benin,BEN,14251.0,40,2267,1942,43484,11733059,270,9.641906333,2.3292127419999997
19,Bhutan,BTN,2447.0,0,246,175,14824,830736,56.04,27.42160889,90.40470329
