,Country Name,Country Code,2018 GDP USD,JH Deaths,JH Confirmed,JH Recovered,Area (mi2),Population,Population Density (mi2),Lat,Lng
0,Afghanistan,AFG,19484384937.0,1436.0,38872.0,32505.0,249347.0,31.575018,127.0,33.83644891,66.0087623
1,Albania,ALB,15147020535.0,347.0,11948.0,6788.0,11082.0,2.862427,258.0,41.14238245,20.05363379
2,Algeria,DZA,174000000000.0,1654.0,49194.0,34675.0,919595.0,43.0,47.0,28.14895234,2.653180184
3,Andorra,AND,3218316013.0,53.0,1483.0,1054.0,179.0,0.076177,425.0,42.54235283,1.561301029
4,Angola,AGO,101000000000.0,144.0,3789.0,1405.0,481354.0,29.250009,61.0,-12.29228881,17.53697914
5,Antigua and Barbuda,ATG,1610574074.0,3.0,95.0,91.0,171.0,0.104084,610.0,17.28282374,-61.79152783
6,Argentina,ARG,520000000000.0,12460.0,601713.0,456347.0,1073518.0,44.938712,42.0,-35.38747534,-65.17827082
7,Armenia,ARM,12457941907.0,925.0,46671.0,42231.0,11484.0,2.9575,258.0,40.28814752,44.93211674
8,Australia,AUS,1430000000000.0,837.0,26861.0,23852.0,2969907.0,25.66585,9.0,-25.73238311,134.4911178
9,Austria,AUT,456000000000.0,758.0,35853.0,28044.0,32386.0,8.9026,275.0,47.58575716,14.13054447
10,Azerbaijan,AZE,47112941176.0,571.0,38777.0,36289.0,33436.0,10.067108,301.0,40.28917913,47.54254985
11,The Bahamas,BHS,12424500000.0,69.0,3177.0,1626.0,5382.0,0.38687,72.0,24.2318875,-76.55795109
12,Bahrain,BHR,37652500000.0,217.0,63189.0,56087.0,300.0,1.5433,5136.0,26.051416699999997,50.54595654
13,Bangladesh,BGD,274000000000.0,4859.0,344264.0,250412.0,55598.0,169.322714,3045.0,23.84557772,90.24194241
14,Barbados,BRB,5086500000.0,7.0,185.0,171.0,166.0,0.287025,1729.0,13.180518300000003,-59.56074345
15,Belarus,BLR,60031262269.0,771.0,74987.0,72967.0,80155.0,9.3978,118.0,53.53169179,28.03331676
16,Belgium,BEL,543000000000.0,9936.0,97976.0,18854.0,11849.0,11.530853,973.0,50.63754659,4.639669963
17,Belize,BLZ,1871200000.0,21.0,1580.0,742.0,8867.0,0.408487,46.0,17.20762029,-88.69476645
18,Benin,BEN,14250985959.0,40.0,2280.0,1950.0,43484.0,11.733059,270.0,9.641906333,2.3292127419999997
19,Bhutan,BTN,2446674102.0,0.0,246.0,175.0,14824.0,0.830772,56.04,27.42160889,90.40470329
20,Bolivia,BOL,40287647902.0,7511.0,129419.0,87716.0,424164.0,11.307314,27.0,-16.70671607,-64.68492141
21,Bosnia and Herzegovina,BIH,20183498491.0,747.0,24605.0,17219.0,19772.0,3.511372,178.0,44.17150414,17.77340527
22,Botswana,BWA,18663264706.0,13.0,2567.0,624.0,224607.0,2.302878,10.3,-22.18611232,23.79910356
23,Brazil,BRA,1890000000000.0,152918.0,4727271.0,4257877.0,3287956.0,212.08251,65.0,-10.78114476,-53.09253648
24,Brunei Darussalam,BRN,13567351175.0,3.0,145.0,141.0,2226.0,0.4213,189.0,4.516799538,114.72723810000001
25,Bulgaria,BGR,66200847918.0,749.0,18544.0,13391.0,42858.0,6.951482,162.0,42.76849024,25.21774128
26,Burkina Faso,BFA,16199434625.0,56.0,1767.0,1166.0,104543.0,20.24408,194.0,12.26956779,-1.75515034
27,Burundi,BDI,3036931818.0,1.0,473.0,374.0,10740.0,11.215578,1044.0,-3.356943638,29.87532495
28,Cambodia,KHM,24571753583.0,0.0,275.0,274.0,69898.0,16.28927,233.0,12.71587413,104.9029619
29,Cameroon,CMR,38694095651.0,415.0,20303.0,18837.0,179943.0,24.348251,135.0,5.693021384,12.73708444
30,Canada,CAN,1720000000000.0,9249.0,142897.0,160166.0,3855103.0,38.176773,10.0,61.37656007,-98.29453737
31,Central African Republic,CAF,2220978978.0,62.0,4782.0,1830.0,240324.0,4.737423,20.0,6.566322906,20.46482687
32,Chad,TCD,11239167048.0,81.0,1115.0,962.0,495755.0,15.353184,31.0,15.33298354,18.64618905
33,Chile,CHL,298000000000.0,12651.0,490729.0,435435.0,291930.0,17.373831,60.0,-37.73462567,-71.36278142
34,China,CHN,13900000000000.0,4736.0,90294.0,85181.0,3722342.0,1404.48404,377.0,36.56020627,103.8317513
35,Colombia,COL,334000000000.0,24468.0,768049.0,621568.0,440831.0,46.4604,105.0,3.9096219939999997,-73.08366766
36,Comoros,COM,1178530758.0,7.0,470.0,449.0,719.0,0.873724,1216.0,-11.88380779,43.67941888
37,Democratic Republic of the Congo,COD,46831342213.0,267.0,10442.0,9840.0,905446.0,86.790567,96.0,-2.879830512,23.64509368
38,Republic of the Congo,COG,11662700148.0,88.0,4934.0,3887.0,132047.0,5.399895,41.0,-0.838897144,15.21808786
39,Costa Rica,CRI,60553901420.0,666.0,60818.0,22662.0,19730.0,5.058007,256.0,9.973327296,-84.19329265
40,Cote d'Ivoire,CIV,57724731365.0,120.0,19158.0,18330.0,124680.0,25.823071,207.0,7.628137726,-5.5690077979999995
41,Croatia,HRV,60991399904.0,238.0,14279.0,11933.0,21831.0,4.087843,187.0,45.06842707,16.39783201
42,Cuba,CUB,100000000000.0,109.0,4933.0,4230.0,42426.0,11.19347,264.0,21.62531027,-79.03529044
43,Cyprus,CYP,24961995749.0,22.0,1558.0,1282.0,2276.0,0.8759,385.0,34.91529998,32.99024253
44,Cyprus,CYP,24961995749.0,22.0,1558.0,1282.0,1295.0,0.351965,272.0,34.91529998,32.99024253
45,Czech Republic,CZE,245000000000.0,489.0,44155.0,23377.0,30451.0,10.681161,351.0,49.73244591,15.31408478
46,Denmark,DNK,356000000000.0,635.0,21836.0,17344.0,16640.0,5.814461,349.0,55.96592133,10.050229
47,Djibouti,DJI,3012820410.0,61.0,5399.0,5333.0,8880.0,1.078373,121.0,11.75049235,42.56700393
48,Dominica,DMA,550892592.6,0.0,24.0,18.0,285.0,0.071808,252.0,15.43722612,-61.35693139
49,Dominican Republic,DOM,85555378043.0,2022.0,106136.0,79363.0,18485.0,10.35832,560.0,18.89605272,-70.49656728
50,Ecuador,ECU,108000000000.0,11029.0,122257.0,97063.0,106889.0,17.570968,164.0,-1.426370186,-78.7712502
51,Egypt,EGY,251000000000.0,5715.0,101641.0,87158.0,387048.0,100.923538,261.0,26.49317576,29.86117424
52,El Salvador,SLV,26117400000.0,801.0,27249.0,20392.0,8124.0,6.704864,825.0,13.73587461,-88.87114005
53,Equatorial Guinea,GNQ,13278488567.0,83.0,5002.0,4509.0,10831.0,1.358276,125.0,1.707241344,10.33337838
54,Estonia,EST,30747159198.0,64.0,2778.0,2337.0,17505.0,1.32482,76.0,58.67097816,25.53660602
55,Eswatini,SWZ,4710618470.0,103.0,5191.0,4439.0,6704.0,1.15925,173.0,-26.56169938,31.48013502
56,Ethiopia,ETH,84269348327.0,1060.0,66913.0,27085.0,410678.0,107.534882,262.0,8.623002991,39.60067183
57,Fiji,FJI,5536759653.0,2.0,32.0,26.0,7078.0,0.884887,125.0,-17.44666029,163.73297309999998
58,Finland,FIN,276000000000.0,339.0,8799.0,7700.0,130666.0,5.527405,42.0,64.49602536,26.2713521
59,France,FRA,2790000000000.0,44935.0,583920.0,118156.0,210026.0,67.06,319.0,42.18202918,-2.754422149
60,Gabon,GAB,16862282414.0,53.0,8678.0,7827.0,103347.0,2.067561,20.0,-0.591692774,11.78932242
61,Gambia,GMB,1624600882.0,107.0,3473.0,1951.0,4127.0,2.228075,540.0,13.44961271,-15.39842179
